,수출물가,- 농림수산품,- 공업제품,수입물가,- 원자재,- 중간재,- 최종재
201607월,-7.4,8.5,-7.5,-7.1,-18.7,-4.6,0.6
201608월,-9.7,12.6,-9.8,-8.4,-14.4,-7.5,-3.9
201609월,-8.3,1.1,-8.3,-7.7,-12.1,-7.0,-4.7
201610월,-1.4,10.3,-1.5,-0.6,2.7,-1.6,-1.0
201611월,3.5,14.1,3.4,3.6,8.7,2.7,1.4
201612월,6.6,17.0,6.5,9.2,30.8,5.0,-0.2
201701월,7.4,8.8,7.4,13.3,50.6,7.2,-1.5
201702월,5.1,6.2,5.1,9.2,43.0,3.7,-4.9
201703월,5.0,3.5,5.0,6.8,29.7,2.8,-3.7
201704월,8.9,6.2,8.9,9.2,34.1,4.6,-1.7
201705월,5.1,7.4,5.1,4.1,23.4,-0.1,-4.0
201706월,4.7,8.8,4.6,2.0,16.2,-1.1,-3.8
201707월,8.1,11.2,8.1,5.5,21.4,2.3,-1.6
201708월,10.8,5.9,10.8,9.1,25.2,6.4,0.6
201709월,11.2,17.7,11.1,10.8,27.2,8.5,1.0
201710월,8.1,11.3,8.1,6.8,14.2,6.6,-0.2
201711월,2.5,4.4,2.5,4.0,15.9,1.8,-3.1
201712월,-2.0,-1.4,-2.1,-0.9,3.8,-1.9,-4.0
201801월,-3.7,-2.7,-3.7,-2.4,4.1,-4.5,-5.3
201802월,-1.3,-1.4,-1.3,0.4,5.1,-1.0,-1.8
201803월,-1.4,0.7,-1.4,3.2,9.4,2.2,-1.6
201804월,-2.0,-1.6,-2.0,3.7,10.9,2.8,-2.6
201805월,0.4,-7.7,0.5,8.1,19.6,6.7,-2.3
201806월,1.4,-9.1,1.5,10.9,26.3,8.8,-1.7
201807월,2.8,-8.8,2.8,11.9,27.0,10.0,-0.6
201808월,2.2,-6.4,2.3,10.0,22.8,8.3,-1.1
201809월,1.3,-7.0,1.3,9.6,24.8,6.5,-1.3
201810월,1.1,-5.2,1.1,10.9,27.7,6.8,-0.2
201811월,0.6,-1.9,0.7,5.9,13.1,3.8,1.0
201812월,-0.7,3.1,-0.7,2.7,5.2,1.6,1.6
201901월,-1.8,7.5,-1.8,1.7,2.3,0.5,3.1
201902월,-2.6,4.5,-2.6,3.5,8.5,1.1,1.4
201903월,-1.0,2.7,-1.0,4.7,10.3,1.8,2.9
201904월,-0.5,2.6,-0.5,5.4,9.7,2.9,4.3
201905월,0.3,6.9,0.3,4.5,4.6,2.9,7.6
201906월,-2.7,4.6,-2.7,-0.6,-4.3,-1.1,5.7
201907월,-5.4,3.7,-5.4,-1.1,-2.6,-2.6,3.8
201908월,-4.0,2.1,-4.1,-0.2,-2.4,-1.8,6.6
201909월,-5.0,0.2,-5.0,-2.0,-6.3,-2.5,5.6
201910월,-7.4,-3.3,-7.5,-6.0,-13.4,-5.2,4.0
201911월,-6.5,-4.1,-6.5,-2.1,-4.2,-3.0,2.8
201912월,-3.2,-4.7,-3.2,3.3,5.3,1.6,4.1
202001월,-2.5,-5.2,-2.5,2.7,2.9,2.3,3.1
202002월,-2.0,-0.6,-2.0,-1.0,-8.9,1.3,4.9
202003월,-3.8,0.9,-3.8,-7.9,-26.0,-3.1,5.9
202004월,-6.5,-1.2,-6.5,-14.6,-40.3,-7.3,4.9
202005월,-8.4,-3.2,-8.4,-13.0,-32.7,-7.9,2.4
202006월,-5.7,-2.2,-5.7,-7.4,-20.5,-4.3,2.2
202007월,-5.3,-1.5,-5.4,-8.9,-23.8,-4.9,1.9
202008월,-6.7,-3.5,-6.7,-10.5,-26.3,-5.6,-0.9
202009월,-5.9,-4.2,-5.9,-11.3,-29.1,-5.5,-0.7
202010월,-6.2,-1.8,-6.2,-11.2,-27.2,-6.1,-2.2
202011월,-4.6,-0.7,-4.6,-10.3,-24.4,-5.3,-3.3
202012월,-4.7,-5.2,-4.7,-9.9,-20.8,-5.7,-4.7
202101월,-1.9,-5.8,-1.9,-5.8,-13.8,-1.9,-3.5
202102월,0.2,-7.0,0.2,-0.8,-0.7,1.0,-4.0
