date,종가,환율,유가종가,유가오픈,유가고가,유가저가,유가변동률,한국은행기준금리,연준기준금리,한미기준금리차이,반도체수출금액지수,SOX종가,SOX변동률,BTC종가,BTC변동률,등락.분류
2021-05-07,129500,1125.5,64.9,64.9,65.24,63.9,0.29,0.5,0.25,-0.25,,3112.03,1.49,57337.2,1.65,1
2016-05-23,27200,1188.4,48.08,48.46,48.5,47.4,0.69,1.5,0.5,-1.0,93.22,669.46,0.66,443.7,0.93,1
2013-09-10,28950,1088.2,107.39,108.92,108.95,106.39,-1.94,2.5,0.25,-2.25,102.85,490.65,1.92,132.6,-0.36,1
2017-07-13,70600,1145.6,46.08,45.44,46.28,44.99,1.3,1.25,1.25,0.0,151.45,1090.13,-0.25,2362.4,-1.69,1
2019-10-28,82900,1174.2,55.81,56.65,56.92,55.58,-1.5,1.5,2.0,0.5,161.06,1677.57,1.75,9207.2,-3.38,0
2013-11-20,32500,1055.8,93.33,93.33,93.93,92.73,-0.01,2.5,0.25,-2.25,84.98,495.63,-0.45,638.0,-1.2,-1
2018-01-16,74400,1061.3,63.73,64.43,64.89,63.39,-1.54,1.5,1.5,0.0,185.53,1325.97,0.29,11362.0,-17.05,1
2018-08-23,81100,1118.7,67.83,68.07,68.12,67.32,-0.04,1.5,2.0,0.5,218.72,1356.13,0.12,6521.2,2.54,1
2017-12-08,78700,1092.7,57.36,56.65,57.79,56.54,1.18,1.5,1.25,-0.25,185.53,1238.24,-0.5,16047.6,-4.76,1
2016-01-18,26700,1211.0,30.02,29.76,30.88,29.67,0.94,1.5,0.5,-1.0,78.93,574.735,-2.19,384.4,0.5,-1
2015-03-26,47000,1102.7,51.43,49.02,52.48,48.73,4.51,2.0,0.25,-1.75,102.6,675.24,-1.39,248.0,0.67,-1
2015-09-25,34350,1191.8,45.7,45.05,46.38,44.86,1.76,1.5,0.25,-1.25,111.77,592.88,0.54,235.0,0.54,1
2017-08-17,66400,1139.6,47.09,46.8,47.19,46.46,0.66,1.25,1.25,0.0,168.2,1069.7,-2.58,4278.9,-2.47,1
2011-04-08,31300,1088.0,112.79,110.32,113.21,110.11,2.26,3.0,0.25,-2.75,80.0,439.58,-0.83,0.8,0.0,-1
2011-09-30,21350,1179.5,79.2,83.07,83.23,78.53,-3.58,3.25,0.25,-3.0,88.13,338.82,-3.42,5.1,7.53,-1
2020-08-14,80200,1183.6,42.01,42.33,42.57,41.62,-0.54,0.5,0.25,-0.25,173.84,2200.81,-0.07,11750.8,-0.17,-1
2015-03-09,45100,1099.5,50.0,49.6,50.79,49.25,0.79,2.0,0.25,-1.75,102.6,715.03,0.37,290.0,5.66,-1
2016-03-09,30550,1205.2,38.29,36.36,38.51,36.24,4.9,1.5,0.5,-1.0,100.61,643.27,0.82,412.8,0.21,1
2013-11-29,35400,1062.1,92.72,92.33,93.9,92.06,0.48,2.5,0.25,-2.25,84.98,510.25,0.05,1206.9,9.58,-1
2016-09-30,40200,1096.3,48.24,47.76,48.3,47.04,0.86,1.25,0.5,-0.75,109.03,835.6,1.58,608.1,0.57,0
2013-08-05,27400,1125.4,106.56,106.84,107.69,105.7,-0.36,2.5,0.25,-2.25,102.85,482.14,-0.26,106.7,1.52,-1
2017-05-31,57000,1123.9,48.32,49.65,49.71,47.73,-2.7,1.25,1.0,-0.25,144.04,1091.42,0.0,2303.3,5.05,-1
2017-05-25,55800,1126.6,48.9,51.25,52.0,48.45,-4.79,1.25,1.0,-0.25,144.04,1080.75,0.55,2307.2,-5.65,0
2014-01-09,38850,1066.0,91.66,92.58,92.93,91.24,-0.73,2.5,0.25,-2.25,84.98,531.49,-0.8,937.0,-0.2,-1
2010-11-23,25350,1126.5,81.25,81.61,82.1,80.28,-0.6,2.25,0.25,-2.0,80.1,388.27,-0.78,0.3,0.0,1
2015-11-25,31900,1155.6,43.04,42.69,43.25,41.72,0.4,1.5,0.25,-1.25,99.06,666.09,0.07,327.5,2.88,2
2012-08-24,21800,1130.8,96.15,96.06,97.17,95.41,-0.12,3.0,0.25,-2.75,77.17,398.95,0.58,10.6,4.95,-1
2018-10-12,72400,1142.5,71.34,70.99,72.01,70.64,0.52,1.5,2.25,0.75,227.06,1253.58,1.97,6291.3,0.84,1
2017-12-22,76700,1080.6,58.47,58.21,58.5,57.87,0.19,1.5,1.5,0.0,185.53,1271.17,-0.05,13665.0,-12.58,-1
2017-02-01,54000,1165.5,53.88,52.76,53.91,52.64,2.03,1.25,0.75,-0.5,123.05,960.11,1.68,982.4,1.75,1
2018-08-14,75900,1133.7,67.04,67.42,68.37,66.58,-0.24,1.5,2.0,0.5,218.72,1354.19,-0.19,6190.2,-1.04,1
2016-09-07,37900,1105.0,45.5,44.85,46.17,44.55,1.49,1.25,0.5,-0.75,109.03,799.2,-0.73,613.2,0.45,-1
2013-04-19,28800,1122.0,88.01,88.37,88.79,87.56,0.32,2.75,0.25,-2.5,81.75,416.97,0.75,118.5,8.69,1
2019-04-15,79700,1140.5,63.4,63.76,63.84,63.03,-0.77,1.75,2.5,0.75,164.28,1485.82,-0.75,5032.3,-2.0,1
2013-07-17,28600,1119.0,106.48,105.78,106.6,105.11,0.45,2.5,0.25,-2.25,91.17,491.58,0.11,98.5,1.44,1
2010-12-14,24750,1143.5,88.28,88.19,88.95,87.74,-0.37,2.5,0.25,-2.25,79.06,410.67,-0.61,0.2,0.0,1
2013-12-18,35550,1051.5,97.8,97.3,98.01,97.02,0.6,2.5,0.25,-2.25,84.98,521.07,0.75,541.0,-24.34,-1
2010-12-02,23800,1154.2,88.0,86.8,88.13,86.27,1.44,2.5,0.25,-2.25,79.06,410.56,1.86,0.3,0.0,1
2012-09-12,22200,1129.3,97.01,96.85,98.06,96.31,-0.16,3.0,0.25,-2.75,88.11,397.95,0.3,11.4,0.0,1
2019-06-10,66800,1179.5,53.26,54.24,54.84,53.05,-1.35,1.75,2.5,0.75,149.27,1413.89,2.54,7987.8,4.62,1
2014-04-21,39400,1037.2,104.37,104.54,104.77,103.85,0.07,2.5,0.25,-2.25,91.69,583.48,0.88,495.2,-0.67,1
