날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
201111월,3.25,79.13,"22,950","24,850","21,500","220,814,674","10,037,031","5,027,291,008,750","228,513,227,670",2,1.9,10.7,26.9,2.7,2,100.36,6.24M,7.69,373.32,-3.41,"1,004,000","1,005,000","935,000","8,192,518","372,387","7,989,371,654,868","363,153,257,039"
201112월,3.25,81.93,"21,950","23,450","20,750","127,788,137","6,085,149","2,826,941,308,190","134,616,252,771",-1,-1.1,6.1,18.6,-1.1,1.3,98.83,4.70M,-1.52,364.44,-2.38,"1,058,000","1,084,000","1,007,000","6,777,378","322,732","7,128,284,557,392","339,442,121,781"
201201월,3.25,72.25,"26,850","27,450","23,450","147,347,508","7,367,375","3,724,390,946,080","186,219,547,304",1.7,1.6,7.7,17.7,1.9,3.1,98.48,5.41M,-0.35,408.94,12.21,"1,107,000","1,125,000","1,016,000","7,182,025","359,101","7,659,337,388,697","382,966,869,435"
201202월,3.25,73.73,"30,200","30,200","25,400","186,338,369","8,873,256","5,223,851,264,100","248,754,822,100",-0.7,-0.7,5.2,13,0.3,2.1,107.07,5.54M,8.72,424.17,3.72,"1,206,000","1,206,000","1,062,000","7,050,168","335,722","7,903,808,627,013","376,371,839,382"
201203월,3.25,82.2,"29,250","30,550","28,800","106,528,104","5,072,767","3,164,699,841,500","150,699,992,452",-3,-3,3.3,10.6,-2.1,1.9,103.02,5.74M,-3.78,438.64,3.41,"1,275,000","1,311,000","1,172,000","5,697,698","271,319","7,042,661,419,008","335,364,829,477"
201204월,3.25,72.52,"28,050","30,300","27,050","104,581,057","5,229,053","2,971,544,455,800","148,577,222,790",-1.2,-1.2,1.5,3.1,-0.9,4.7,104.87,4.48M,1.8,413.39,-5.76,"1,390,000","1,390,000","1,249,000","6,028,836","301,442","7,845,648,178,412","392,282,408,921"
201205월,3.25,80.23,"23,100","28,150","22,000","156,366,002","7,446,000","3,868,597,423,350","184,218,924,921",-0.3,-0.3,1.8,3.9,-1,5,86.53,5.81M,-17.49,368.37,-10.89,"1,211,000","1,410,000","1,166,000","7,748,478","368,975","9,825,825,848,479","467,896,468,975"
201206월,3.25,82.24,"23,850","24,800","21,550","125,129,001","6,256,450","2,904,812,064,880","145,240,603,244",-0.5,-0.5,-1.3,-2.4,-2.6,5,84.96,5.95M,-1.81,385.46,4.64,"1,201,000","1,271,000","1,132,000","7,314,521","365,726","8,821,760,949,643","441,088,047,482"
201207월,3,74.69,"21,700","24,300","20,250","129,649,185","5,893,145","2,814,943,661,890","127,951,984,631",0.1,0,-0.9,-1.6,-2.1,4.3,88.06,5.27M,3.65,383.72,-0.45,"1,309,000","1,309,000","1,091,000","8,220,114","373,642","9,676,181,439,342","439,826,429,061"
201208월,3,77.17,"21,200","23,100","20,950","122,153,990","5,552,454","2,709,221,443,600","123,146,429,255",-0.7,-0.7,0.5,2.6,-2,2.7,96.47,5.08M,9.55,396.18,3.25,"1,233,000","1,348,000","1,180,000","8,729,323","396,787","11,054,320,759,404","502,469,125,427"
